Mouchoir ou serviette en papier, 3 mois, 0.0012, file:mouchoir.jpg, 2024-05-02
Papier journal, 3 à 12 mois, 0.0284, file:journal.jpg, 2024-05-02
Brique de lait, jusqu'à 5 mois, 0.01, file:lait.jpg, 2024-05-02
Carton, 5 mois, 1.25, file:carton.jpg, 2024-05-02
Chewing-gum, 5 ans, 0.0042, file:chewingGum.jpg, 2024-05-02
Mégot de cigarette, 1 à 5 ans, 0.001, file:cigarette.jpg, 2024-05-02
Papier de bonbon, 5 ans, 0.0011, file:papierBonbon.jpg, 2024-05-02
Boite de conserve, 50 ans, 0.8, file:conserve.jpg, 2024-05-02
Récipient en polystyrène, 50 ans, 0.1513, file:polystyrene.jpg, 2024-05-02
Canette, jusqu'à 100 ans, 0.0075, file:canette.jpg, 2024-05-02
Pneu, 100 ans, 0.0055, file:pneu.jpg, 2024-05-02
Briquet en plastique, 100 ans, 0.157, file:briquet.jpg, 2024-05-02
Pile, 200 ans, 0.0173, file:pile.jpg, 2024-05-02
Sac en plastique, 450 ans, 0.005, file:sacPlastique.jpg, 2024-05-02
Masque chirurgical, 400 à 450 ans, 0.0265, file:masque.jpg, 2024-05-02
Tampon ou serviette hygiénique, 400 à 450 ans, 0.004, file:servietteTampon.jpg, 2024-05-02
Couche jetable, 400 à 450 ans, 0.004, file:couche.jpg, 2024-05-02
Boite en aluminium, 100 à 500 ans, 0.6, file:aluminium.jpg, 2024-05-02
Bouteille en plastique, 100 à 1000 ans, 0.03, file:bouteillePlastique.jpg, 2024-05-02
Ampoule, plus de 1000 ans, 0.0079, file:ampoule.jpg, 2024-05-02
Verre, jusqu'à 5000 ans, 0.6, file:verre.jpg, 2024-05-12
